8.364481489493906352e+00,1.740905819267546673e-01,3.864112590318913298e-02
8.366444147203560888e+00,1.740682489288264134e-01,4.528076577515429552e-02
8.387966479497915628e+00,1.740594979718641799e-01,4.717423680360658539e-02
8.316969602655925442e+00,1.740935068888160298e-01,3.570754743967455985e-02
9.121663882641339427e+00,1.585260437750674600e-01,2.368612643553348607e-02
8.148975818614273336e+00,1.740668957367178804e-01,3.495466613187543647e-02
8.358061864630059290e+00,1.740921017040277241e-01,3.708286278536005592e-02
8.229703199377365053e+00,1.742766532903042287e-01,3.631485274621963633e-02
8.356865678508555106e+00,1.740678700312884020e-01,4.545122532803648474e-02
8.315795541734466667e+00,1.740953066345671818e-01,3.593496551722166060e-02
8.125095102233501621e+00,1.740720546382666933e-01,3.548070264825983061e-02
8.226976033824108470e+00,1.742756054299088586e-01,3.654428501854539713e-02
8.214517544134018578e+00,1.742783246531073027e-01,3.555558200440631783e-02
8.349622108271050891e+00,1.740899785990171478e-01,3.762465134305751496e-02
8.150188149648975866e+00,1.740690537706978958e-01,3.267032855852530782e-02
8.369013000869943042e+00,1.740893713421045597e-01,3.895639434778976062e-02
8.238906526846648148e+00,1.742710514872876926e-01,3.510431805534225402e-02
8.121643581733428263e+00,1.740676730373998116e-01,3.570725394507156397e-02
8.143254141133025925e+00,1.740679755329996303e-01,3.502957837036554944e-02
8.241824008279339253e+00,1.742709379109055601e-01,3.465547644953261008e-02
8.361700042358878093e+00,1.740672137189521462e-01,4.665386845828364132e-02
8.241695963213089726e+00,1.742695207360357157e-01,3.495448989764358277e-02
8.124464486137840780e+00,1.740682761822140157e-01,3.555614560278730352e-02
8.311927783726732244e+00,1.740931004874116672e-01,3.570753569989387061e-02
8.213548490146029835e+00,1.742782434326315688e-01,3.563105218409492320e-02
8.139082732708255108e+00,1.740685405727250001e-01,3.533010963175415436e-02
8.121223351892375319e+00,1.740704234995668620e-01,3.570744178163806626e-02
8.314419591994719028e+00,1.740931583730064569e-01,3.646837081565698635e-02
8.363894760509266391e+00,1.740684661723335969e-01,4.570772682000005110e-02
8.226519303451716780e+00,1.742772471542938795e-01,3.623825763861911187e-02
